"species","class","order","family","source"
"Saltator maximus","Aves","Passeriformes","Thraupidae","faunabr"
"Saltator similis","Aves","Passeriformes","Thraupidae","faunabr"
"Schiffornis turdina","Aves","Passeriformes","Tityridae","faunabr"
"Schistochlamys melanopis","Aves","Passeriformes","Thraupidae","faunabr"
"Schoeniophylax phryganophilus","Aves","Passeriformes","Furnariidae","faunabr"
"Sclateria naevia","Aves","Passeriformes","Thamnophilidae","faunabr"
"Sclerurus caudacutus","Aves","Passeriformes","Scleruridae","faunabr"
"Sclerurus macconnelli","Aves","Passeriformes","Scleruridae","faunabr"
"Sclerurus rufigularis","Aves","Passeriformes","Scleruridae","faunabr"
"Scotomyias roraimae","Aves","Passeriformes","Tyrannidae","faunabr"
"Serpophaga subcristata","Aves","Passeriformes","Tyrannidae","faunabr"
"Setophaga pitiayumi","Aves","Passeriformes","Parulidae","faunabr"
"Sicalis citrina","Aves","Passeriformes","Thraupidae","faunabr"
"Sicalis columbiana","Aves","Passeriformes","Thraupidae","faunabr"
"Sicalis flaveola","Aves","Passeriformes","Thraupidae","faunabr"
"Sicalis luteola","Aves","Passeriformes","Thraupidae","faunabr"
"Sittasomus griseicapillus","Aves","Passeriformes","Dendrocolaptidae","faunabr"
"Spatula cyanoptera","Aves","Anseriformes","Anatidae","faunabr"
"Spatula versicolor","Aves","Anseriformes","Anatidae","faunabr"
"Spinus magellanicus","Aves","Passeriformes","Fringillidae","faunabr"
"Spizaetus ornatus","Aves","Accipitriformes","Accipitridae","faunabr"
"Spizaetus tyrannus","Aves","Accipitriformes","Accipitridae","faunabr"
"Sporophila angolensis","Aves","Passeriformes","Thraupidae","faunabr"
"Sporophila caerulescens","Aves","Passeriformes","Thraupidae","faunabr"
"Sporophila collaris","Aves","Passeriformes","Thraupidae","faunabr"
"Sporophila leucoptera","Aves","Passeriformes","Thraupidae","faunabr"
"Sporophila nigricollis","Aves","Passeriformes","Thraupidae","faunabr"
"Sporophila plumbea","Aves","Passeriformes","Thraupidae","faunabr"
"Stelgidopteryx ruficollis","Aves","Passeriformes","Hirundinidae","faunabr"
"Stercorarius antarcticus","Aves","Charadriiformes","Stercorariidae","faunabr"
